
2023/04/09 (23:49:46) | ===> btop++ v.1.2.13
2023/04/09 (23:49:46) | INFO: Logger set to DEBUG
2023/04/09 (23:49:46) | DEBUG: Using locale en_US.UTF-8
2023/04/09 (23:49:46) | INFO: Running on /dev/pts/1
2023/04/09 (23:49:50) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2023/04/09 (23:49:50) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2023/04/09 (23:49:50) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2023/04/09 (23:49:50) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/09 (23:50:14) | ===> btop++ v.1.2.13
2023/04/09 (23:50:14) | INFO: Logger set to DEBUG
2023/04/09 (23:50:14) | DEBUG: Using locale en_US.UTF-8
2023/04/09 (23:50:14) | INFO: Running on /dev/pts/1
2023/04/09 (23:50:14) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/09 (23:50:33) | ===> btop++ v.1.2.13
2023/04/09 (23:50:33) | INFO: Logger set to DEBUG
2023/04/09 (23:50:33) | DEBUG: Using locale en_US.UTF-8
2023/04/09 (23:50:33) | INFO: Running on /dev/pts/0
2023/04/09 (23:50:33) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/09 (23:57:12) | ===> btop++ v.1.2.13
2023/04/09 (23:57:12) | INFO: Logger set to DEBUG
2023/04/09 (23:57:12) | DEBUG: Using locale en_US.UTF-8
2023/04/09 (23:57:12) | INFO: Running on /dev/pts/0
2023/04/09 (23:57:12) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/09 (23:59:21) | ===> btop++ v.1.2.13
2023/04/09 (23:59:21) | INFO: Logger set to DEBUG
2023/04/09 (23:59:21) | DEBUG: Using locale en_US.UTF-8
2023/04/09 (23:59:21) | INFO: Running on /dev/pts/0
2023/04/09 (23:59:21) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (00:00:22) | ===> btop++ v.1.2.13
2023/04/10 (00:00:22) | INFO: Logger set to DEBUG
2023/04/10 (00:00:22) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (00:00:22) | INFO: Running on /dev/pts/0
2023/04/10 (00:00:22) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (00:00:26) | ===> btop++ v.1.2.13
2023/04/10 (00:00:26) | INFO: Logger set to DEBUG
2023/04/10 (00:00:26) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (00:00:26) | INFO: Running on /dev/pts/0
2023/04/10 (00:00:26) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (01:18:11) | ===> btop++ v.1.2.13
2023/04/10 (01:18:11) | INFO: Logger set to DEBUG
2023/04/10 (01:18:11) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (01:18:11) | INFO: Running on /dev/pts/1
2023/04/10 (01:18:11) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (01:19:26) | ===> btop++ v.1.2.13
2023/04/10 (01:19:26) | INFO: Logger set to DEBUG
2023/04/10 (01:19:26) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (01:19:26) | INFO: Running on /dev/pts/1
2023/04/10 (01:19:26) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (13:09:40) | ===> btop++ v.1.2.13
2023/04/10 (13:09:40) | INFO: Logger set to DEBUG
2023/04/10 (13:09:40) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (13:09:40) | INFO: Running on /dev/pts/0
2023/04/10 (13:09:41) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (13:40:58) | ===> btop++ v.1.2.13
2023/04/10 (13:40:58) | INFO: Logger set to DEBUG
2023/04/10 (13:40:58) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (13:40:58) | INFO: Running on /dev/pts/1
2023/04/10 (13:40:58) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (23:26:49) | ===> btop++ v.1.2.13
2023/04/10 (23:26:49) | INFO: Logger set to DEBUG
2023/04/10 (23:26:49) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (23:26:49) | INFO: Running on /dev/pts/0
2023/04/10 (23:26:50) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (23:58:30) | ===> btop++ v.1.2.13
2023/04/10 (23:58:30) | INFO: Logger set to DEBUG
2023/04/10 (23:58:30) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (23:58:30) | INFO: Running on /dev/pts/0
2023/04/10 (23:58:30) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/10 (23:59:25) | ===> btop++ v.1.2.13
2023/04/10 (23:59:25) | INFO: Logger set to DEBUG
2023/04/10 (23:59:25) | DEBUG: Using locale en_US.UTF-8
2023/04/10 (23:59:25) | INFO: Running on /dev/pts/0
2023/04/10 (23:59:25) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/11 (00:32:23) | ===> btop++ v.1.2.13
2023/04/11 (00:32:23) | INFO: Logger set to DEBUG
2023/04/11 (00:32:23) | DEBUG: Using locale en_US.UTF-8
2023/04/11 (00:32:23) | INFO: Running on /dev/pts/0
2023/04/11 (00:32:23) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2023/04/11 (00:33:53) | ===> btop++ v.1.2.13
2023/04/11 (00:33:53) | INFO: Logger set to DEBUG
2023/04/11 (00:33:53) | DEBUG: Using locale en_US.UTF-8
2023/04/11 (00:33:53) | INFO: Running on /dev/pts/0
2023/04/11 (00:33:53) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

